Title,Type,Author,Genre,Status,Notes,Pages,Year,Score,Goodreads
The Shadow Over Innsmouth,Novella,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,158,1936,4.20,4.10
At the Mountains of Madness,Novel,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,194,1936,4.00,3.82
A Reminiscence of Dr. Samuel Johnson,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,5,1917,3.25,4.34
Salinger and the Koreans,Short Story,Han Song,Fiction: Science Fiction,FINISHED,,10,2016,4.00,3.85
Submarines,Short Story,Han Song,Fiction: Science Fiction,FINISHED,,12,2014,3.00,3.85
The Origins of Totalitarianism,Non-Fiction,Hannah Arendt,Non-Fiction: Politics,NOT STARTED,,527,1951,,4.30
The New Year Train,Short Story,Hao Jingfang,Fiction: Science Fiction,FINISHED,,8,2017,3.50,3.85
On the Slab,Short Story,Harlan Ellison,Fiction: Horror: Cosmic,FINISHED,,9,1981,3.00,4.12
"""Repent, Harlequin!"" Said the Ticktockman",Short Story,Harlan Ellison,Fiction: Science Fiction,FINISHED,,15,1965,4.00,4.15
"I Have No Mouth, and I Must Scream",Short Story,Harlan Ellison,Fiction: Science Fiction: Horror,FINISHED,,17,1967,5.00,3.69
The Prowler in the City at the Edge of the World,Novelette,Harlan Ellison,Fiction: Science Fiction,FINISHED,,30,1967,4.00,4.17
A Boy and His Dog,Novella,Harlan Ellison,Fiction: Science Fiction: Apocalyptic,FINISHED,,77,1969,4.00,3.85
To Kill a Mockingbird,Novel,Harper Lee,Fiction: Literary,NOT STARTED,,323,1960,,4.26
By the Falls,Short Story,Harry Harrison,Fiction: Science Fiction,FINISHED,,5,1970,3.75,3.81
Planet of the Damned,Novel,Harry Harrison,Fiction: Science Fiction,NOT STARTED,,169,1962,,3.60
In the Balance,Novel,Harry Turtledove,Fiction: Science Fiction: Alternative History,NOT STARTED,"Worldwar, #1.",465,1994,,3.82
In the Presence of Mine Enemies,Novel,Harry Turtledove,Fiction: Science Fiction: Alternative History,NOT STARTED,,528,2003,,3.82
How Few Remain,Novel,Harry Turtledove,Fiction: Science Fiction: Alternative History,NOT STARTED,"Timeline-191, #1.",596,1997,,3.91
Norwegian Wood,Novel,Haruki Murakami,Fiction: Literary,NOT STARTED,,296,1987,,4.01
The Distant Dead,Novel,Heather Young,Fiction: Horror,NOT STARTED,,352,2020,,3.93
Prelude to Terror,Novel,Helen MacInnes,Fiction: Thriller,NOT STARTED,,352,1978,,3.96
The Golem and the Jinni,Novel,Helen Wecker,Fiction: Magic Realism,NOT STARTED,,486,2013,,4.13
The Turn of the Screw,Novel,Henry James,Fiction: Horror: Gothic,FINISHED,,121,1898,3.00,3.39
The Warwolf: A Peasant Chronicle of the Thirty Years War,Novel,Hermann Löns,Fiction: Historical,NOT STARTED,,224,1910,,4.01
Trust,Novel,Hernan Diaz,Fiction: Historical,NOT STARTED,,402,2022,,3.84
Wolf Hall,Novel,Hilary Mantel,Fiction: Historical,NOT STARTED,"Thomas Cromwell, #1.",653,2009,,3.90
Spartacus,Novel,Howard Fast,Fiction: Historical,NOT STARTED,,376,1951,,3.89
The Man Who Went to the Moon—Twice,Short Story,Howard Rodman,Fiction: Science Fiction,NOT STARTED,,13,1967,,4.17
A People’s History of the United States: 1492 - Present,Non-Fiction,Howard Zinn,Non-Fiction: History,NOT STARTED,,729,1980,,4.08
Wool,Novel,Hugh Howey,Fiction: Science Fiction: Apocalyptic,NOT FINISHED,"Silo, #1.",509,2012,2.00,4.22
Consider Phlebas,Novel,Iain M. Banks,Fiction: Science Fiction: Space Opera,NOT STARTED,"Culture, #1.",467,1987,,3.85
Dice Men: The Origin Story of Games Workshop,Non-Fiction,"Ian Livingstone, Steve Jackson",Non-Fiction: Games,NOT STARTED,,448,2022,,4.11
Atonement,Novel,Ian McEwan,Fiction: Literary,NOT STARTED,,351,2001,,3.94
La catedral del mar,Novel,Ildefonso Falcones,Fiction: Historical,FINISHED,"La catedral del mar, #1.",670,2006,3.00,4.15
Rosemary's Baby,Novel,Ira Levin,Fiction: Horror,FINISHED,,308,1967,4.70,4.04
Nightfall,Novelette,Isaac Asimov,Fiction: Science Fiction,NOT STARTED,,36,1941,,4.26
The End of Eternity,Novel,Isaac Asimov,Fiction: Science Fiction,NOT STARTED,,192,1955,,4.24
"I, Robot",Anthology,Isaac Asimov,Fiction: Science Fiction,FINISHED,"Robots, #0.1.",224,1950,4.00,4.21
Foundation,Novel,Isaac Asimov,Fiction: Science Fiction,FINISHED,"Foundation, #1.",244,1951,4.20,4.17
Foundation and Empire,Novel,Isaac Asimov,Fiction: Science Fiction,FINISHED,"Foundation, #2.",256,1952,4.20,4.22
Second Foundation,Novel,Isaac Asimov,Fiction: Science Fiction,NOT FINISHED,"Foundation, #3.",256,1953,3.25,4.27
The Gods Themselves,Novel,Isaac Asimov,Fiction: Science Fiction,NOT STARTED,,288,1972,,4.09
El reino del dragón de oro,Novel,Isabel Allende,Fiction: Magic Realism,FINISHED,,432,2003,3.75,3.88
La casa de los espíritus,Novel,Isabel Allende,Fiction: Magic Realism,NOT STARTED,,454,1982,,4.28
The Catcher in the Rye,Novel,J. D. Salinger,Fiction: Magic Realism,FINISHED,,234,1951,4.20,3.80
Empire of the Sun,Novel,J. G. Ballard,Fiction: Historical,FINISHED,,351,1984,4.00,3.98
Harry Potter and the Philosopher's Stone,Novel,J. K. Rowling,Fiction: Fantasy: Low,FINISHED,"Harry Potter, #1.",223,1997,4.50,4.47
Harry Potter and the Chamber of Secrets,Novel,J. K. Rowling,Fiction: Fantasy: Low,FINISHED,"Harry Potter, #2.",352,1998,4.50,4.43
Harry Potter and the Prisoner of Azakaban,Novel,J. K. Rowling,Fiction: Fantasy: Low,FINISHED,"Harry Potter, #3.",435,1999,4.20,4.58
Harry Potter and the Half-Blood Prince,Novel,J. K. Rowling,Fiction: Fantasy: Low,FINISHED,"Harry Potter, #6.",652,2005,3.50,4.58
Harry Potter and the Goblet of Fire,Novel,J. K. Rowling,Fiction: Fantasy: Low,FINISHED,"Harry Potter, #4.",724,2000,3.50,4.57
Harry Potter and the Deathly Hallows,Novel,J. K. Rowling,Fiction: Fantasy: Low,FINISHED,"Harry Potter, #7.",759,2007,3.00,4.62
Harry Potter and the Order of the Phoenix,Novel,J. K. Rowling,Fiction: Fantasy: Low,FINISHED,"Harry Potter, #5.",912,2003,3.50,4.50
The Hobbit,Novel,J. R. R. Tolkien,Fiction: Fantasy: High,FINISHED,,366,1937,4.70,4.29
The Fellowship of the Ring,Novel,J. R. R. Tolkien,Fiction: Fantasy: Epic,FINISHED,"The Lord of the Rings, #1.",432,1954,4.92,4.39
The Return of the King,Novel,J. R. R. Tolkien,Fiction: Fantasy: Epic,FINISHED,"The Lord of the Rings, #3.",432,1955,4.90,4.56
The Two Towers,Novel,J. R. R. Tolkien,Fiction: Fantasy: Epic,FINISHED,"The Lord of the Rings, #2.",448,1954,4.80,4.48
Off Season,Novel,Jack Ketchum,Fiction: Horror,NOT STARTED,"Dead River, #1.",308,1980,,3.78
The Girl Next Door,Novel,Jack Ketchum,Fiction: Horror,NOT STARTED,,370,1989,,3.94
Eternity Road,Novel,Jack McDevitt,Fiction: Science Fiction: Apocalyptic,NOT STARTED,,403,1997,,3.79
Infinity Beach,Novel,Jack McDevitt,Fiction: Science Fiction,NOT STARTED,,528,2000,,3.88
The Mitr,Short Story,Jack Vance,Fiction: Science Fiction,FINISHED,,4,1953,3.25,4.19
The Secret,Short Story,Jack Vance,Fiction: Science Fiction,FINISHED,,5,1966,3.50,4.19
The Dying Earth,Anthology,Jack Vance,Fiction: Fantasy: High,FINISHED,"The Dying Earth, #1.",156,1950,3.50,3.90
Snowpiercer,Graphic Novel,"Jacques Lob, Jean-Marc Rochette",Fiction: Science Fiction: Climate,NOT STARTED,,110,1982,,3.31
Space,Novel,James A. Michener,Fiction: Historical,NOT FINISHED,,864,1982,2.00,4.00
Black Easter,Novel,James Blish,Fiction: Science Fiction: Apocalyptic,NOT STARTED,,172,1968,,3.85
A Case of Conscience,Novel,James Blish,Fiction: Science Fiction,FINISHED,,256,1958,4.00,3.62
Shogun,Novel,James Clavell,Fiction: Historical,NOT FINISHED,,1152,1975,3.00,4.40
My Dark Places,Non-Fiction,James Ellroy,Non-Fiction: Crime,FINISHED,,427,1996,3.00,3.85
The Rats,Novel,James Herbert,Fiction: Horror,NOT STARTED,"Rats, #1.",208,1974,,3.93
The Fog,Novel,James Herbert,Fiction: Horror,NOT STARTED,,345,1975,,3.89
The Shadow of What Was Lost,Novel,James Islington,Fiction: Fantasy: High,NOT STARTED,"The Licanius Trilogy, #1.",602,2014,,4.14
This Is The Way The World Ends,Novel,James K. Morrow,Fiction: Science Fiction: Apocalyptic,NOT STARTED,,319,1986,,3.73
The Shadow on the Doorstep,Short Story,James P. Blaylock,Fiction: Horror: Cosmic,FINISHED,,9,1986,3.00,4.12
Solstice,Novelette,James Patrick Kelly,Fiction: Science Fiction: Cyberpunk,FINISHED,,39,1985,3.00,3.95
Abaddon's Gate,Novel,James S. A. Corey,Fiction: Science Fiction: Space Opera,FINISHED,"The Expanse, #3.",539,2013,4.25,4.27
Cibola Burn,Novel,James S. A. Corey,Fiction: Science Fiction: Space Opera,NOT STARTED,"The Expanse, #4.",581,2014,,4.22
Leviathan Wakes,Novel,James S. A. Corey,Fiction: Science Fiction: Space Opera,FINISHED,"The Expanse, #1.",592,2011,4.00,4.30
Caliban's War,Novel,James S. A. Corey,Fiction: Science Fiction: Space Opera,FINISHED,"The Expanse, #2.",624,2012,4.00,4.38
House of Eight Orchids,Novel,James Stewart Thayer,Fiction: Historical,NOT STARTED,,290,2016,,4.01
The Man Who Walked Home,Short Story,James Tiptree,Fiction: Science Fiction,FINISHED,,10,1972,3.75,4.18
Something is Killing the Children: Vol. 1,Graphic Novel,James Tynion IV,Fiction: Horror,NOT STARTED,"Something is Killing the Children, #1.",128,2020,,4.15
The Nice House on the Lake,Graphic Novel,James Tynion IV,Fiction: Horror,FINISHED,,400,2022,4.75,4.33
The End of the World,Graphic Novel,"James Tynion IV, Martin Simmonds",Fiction: Science Fiction,FINISHED,"The Department of Truth, #1.",144,2020,4.00,4.11
Beyond the Sky and the Earth: A Journey into Bhutan,Non-Fiction,Jamie Zeppa,Non-Fiction: Travel,NOT STARTED,,320,1999,,4.16
Pride and Prejudice,Novel,Jane Austen,Fiction: Literary,NOT STARTED,,279,1813,,4.29
The 40-Minute War,Novel,"Janet E. Morris, Chris Morris",Fiction: Science Fiction: Apocalyptic,NOT STARTED,,210,1980,,3.90
Naissance,Graphic Novel,Jaouen Salaün,Fiction: Science Fiction,FINISHED,"Elecboy, #1.",64,2021,3.00,2.96
Collapse: How Societies Choose to Fail or Succeed,Non-Fiction,Jared Diamond,Non-Fiction: History,NOT STARTED,,608,2004,,3.93
Hidden Pictures,Novel,Jason Rekulak,Fiction: Horror,NOT STARTED,,372,2022,,4.14
Press Reset: Ruin and Recovery in the Video Game Industry,Non-Fiction,Jason Schreier,Non-Fiction: Games,NOT STARTED,,301,2021,,4.05
"Blood, Sweat, and Pixels: The Triumphant, Turbulent Stories Behind How Video Games Are Made",Non-Fiction,Jason Schreier,Non-Fiction: Games,FINISHED,,353,2017,4.40,4.21
"Play Nice: The Rise, Fall, and Future of Blizzard Entertainment",Non-Fiction,Jason Schreier,Non-Fiction: Games,NOT STARTED,,384,2024,,4.27
The Amityville Horror,Novel,Jay Anson,Fiction: Horror,NOT STARTED,,315,1977,,3.83
Simulacra and Simulation,Non-Fiction,Jean Baudrillard,Non-Fiction: Philosophy,NOT STARTED,,164,1981,,3.99
The Clan of the Cave Bear,Novel,Jean M. Auel,Fiction: Historical,NOT STARTED,"Earth's Children, #1.",516,1980,,4.09
The Passageway,Graphic Novel,Jeff Lemire,Fiction: Horror: Folk,NOT STARTED,"The Bone Orchard Mythos, #1.",96,2022,,3.41
The Pentoculus,Graphic Novel,Jeff Lemire,Fiction: Horror: Cosmic,FINISHED,"Gideon Falls, #4.",120,2020,4.00,4.19
Wicked Worlds,Graphic Novel,Jeff Lemire,Fiction: Horror: Cosmic,FINISHED,"Gideon Falls, #5.",120,2020,4.00,4.03
The End,Graphic Novel,Jeff Lemire,Fiction: Horror: Cosmic,FINISHED,"Gideon Falls, #6.",120,2021,4.00,3.60
Original Sins,Graphic Novel,Jeff Lemire,Fiction: Horror: Cosmic,FINISHED,"Gideon Falls, #2.",136,2019,4.00,4.27
Stations of the Cross,Graphic Novel,Jeff Lemire,Fiction: Horror: Cosmic,FINISHED,"Gideon Falls, #3.",136,2019,4.00,4.14
The Black Barn,Graphic Novel,Jeff Lemire,Fiction: Horror: Cosmic,FINISHED,"Gideon Falls, #1.",160,2018,4.00,4.15
Annihilation,Novel,Jeff VanderMeer,Fiction: Science Fiction,FINISHED,"Southern Reach, #1.",195,2014,3.75,3.77
Wonderbook: The Illustrated Guide to Creating Imaginative Fiction,Non-Fiction,Jeff VanderMeer,Non-Fiction: Writing,NOT STARTED,,332,2013,,4.34
Middlesex,Novel,Jeffrey Eugenides,Fiction: Historical,NOT STARTED,,529,2002,,4.03
The Sentinel,Novel,Jeffrey Konvitz,Fiction: Horror,NOT STARTED,,278,1974,,3.84
The Winter People,Novel,Jennifer McMahon,Fiction: Horror,NOT STARTED,,317,2014,,3.82
A History of the World in 12 Maps,Non-Fiction,Jerry Brotton,Non-Fiction: History,NOT STARTED,,521,2012,,3.75
Lucifer's Hammer,Novel,"Jerry Pournelle, Larry Niven",Fiction: Science Fiction: Apocalyptic,FINISHED,,629,1977,4.00,4.00
Interpreter of Maladies,Anthology,Jhumpa Lahiri,Fiction: Historical,NOT STARTED,,198,1999,,4.17
"""I Had Vacantly Crumpled It Into My Pocket ... But by God, Eliot, It Was a Photograph from Life!""",Short Story,Joanna Russ,Fiction: Horror: Cosmic,FINISHED,,9,1064,3.00,4.12
Stranger Things and Dungeons & Dragons,Graphic Novel,Jody Houser,Fiction: Science Fiction,FINISHED,,96,2021,4.00,3.99
The Blade Itself,Novel,Joe Abercrombie,Fiction: Fantasy: High,NOT FINISHED,"The First Law, #1.",515,2006,2.00,4.21
Flight from the Dark,Novel,Joe Dever,Fiction: Fantasy: High,NOT STARTED,"Lone Wolf, #1.",192,1984,,3.98
The Forever War,Novel,Joe Haldeman,Fiction: Science Fiction: Space Opera,NOT STARTED,"The Forever War, #1.",278,1974,,4.14
Welcome to Lovecraft,Graphic Novel,Joe Hill,Fiction: Horror,NOT STARTED,"Locke & Key, #1.",168,2008,,4.15
"The Faithful Executioner: Life and Death, Honor and Shame in the Turbulent Sixteenth Century",Non-Fiction,Joel F. Harrington,Non-Fiction: History,NOT STARTED,,320,2013,,4.03
Mother of Storms,Novel,John Barnes,Fiction: Science Fiction: Apocalyptic,NOT STARTED,,560,1994,,3.73
Midnight in the Garden of Good and Evil,Non-Fiction,John Berendt,Non-Fiction: Crime,NOT STARTED,,386,1994,,3.92
Stand on Zanzibar,Novel,John Brunner,Fiction: Science Fiction,NOT FINISHED,,672,1968,3.00,3.94
Hobgoblin,Novel,John Coyne,Fiction: Horror,NOT STARTED,,342,1981,,3.19
Ægypt,Novel,John Crowley,Fiction: Fantasy: Historical,NOT STARTED,"The Ægypt Cycle, #1.",390,1987,,3.83
Cape Fear,Novel,John D. MacDonald,Fiction: Horror,NOT STARTED,,224,1957,,4.06
The Search for the Manchurian Candidate: The CIA & Mind Control,Non-Fiction,John D. Marks,Non-Fiction: Politics,NOT STARTED,,264,1979,,4.07
Manhattan Transfer,Novel,John Dos Passos,Fiction: Literary,NOT STARTED,,342,1925,,3.65
Death in Londinium,Novel,John Drake,Fiction: Historical,NOT STARTED,"Londinium, #1.",334,2016,,4.40
Son of the Endless Night,Novel,John Farris,Fiction: Horror,NOT STARTED,,509,1985,,3.76
The Magus,Novel,John Fowles,Fiction: Literary,NOT STARTED,,656,1965,,4.05
The Scientists: A History of Science Told Through the Lives of Its Greatest Inventors,Non-Fiction,John Gribbin,Non-Fiction: Science,NOT STARTED,,646,2002,,4.12
A Prayer for Owen Meany,Novel,John Irving,Fiction: Literary,NOT STARTED,,637,1989,,4.24
A Short History of Byzantium,Non-Fiction,John Julius Norwich,Non-Fiction: History,NOT STARTED,,496,1997,,4.11
The Fisherman,Novel,John Langan,Fiction: Horror: Cosmic,FINISHED,,266,2016,4.85,3.93
"The Wide, Carnivorous Sky and Other Monstrous Geographies",Anthology,John Langan,Fiction: Horror: Cosmic,NOT STARTED,,322,2013,,4.06
The Spy Who Came In from the Cold,Novel,John le Carré,Fiction: Crime,FINISHED,"George Smiley, #3.",212,1963,2.00,4.08
Doom Guy: Life in First Person,Non-Fiction,John Romero,Non-Fiction: Games,NOT STARTED,,284,2023,,4.31
Old Man's War,Novel,John Scalzi,Fiction: Science Fiction,FINISHED,"Old Man's War, #1.",318,2005,3.00,4.23
Redshirts,Novel,John Scalzi,Fiction: Science Fiction,NOT STARTED,,320,2012,,3.86
The Collapsing Empire,Novel,John Scalzi,Fiction: Science Fiction,NOT STARTED,"The Interdependency, #1.",336,2017,,4.12
Freezone,Novella,John Shirley,Fiction: Science Fiction: Cyberpunk,FINISHED,,39,1986,3.50,3.95
Eclipse,Novel,John Shirley,Fiction: Science Fiction: Cyberpunk,NOT STARTED,"A Song Called Youth, #1.",326,1985,,3.91
East of Eden,Novel,John Steinbeck,Fiction: Literary,NOT STARTED,,601,1952,,4.41
Titan,Novel,John Varley,Fiction: Science Fiction,NOT STARTED,"Gaea, #1.",309,1979,,3.95
Who Goes There?,Novella,John W. Campbell,Fiction: Horror,FINISHED,,161,1938,2.00,3.80
Augustus,Novel,John Williams,Fiction: Historical,NOT STARTED,,336,1972,,4.24
The Day of the Triffids,Novel,John Wyndham,Fiction: Science Fiction: Apocalyptic,FINISHED,,228,1951,4.00,4.01
A Whiter Shade of Pale,Short Story,Jon Bing,Fiction: Science Fiction,FINISHED,,10,1974,3.50,3.71
Game Wizards: The Epic Battle for Dungeons & Dragons,Non-Fiction,Jon Peterson,Non-Fiction: Games,NOT FINISHED,,368,2021,2.00,4.08
"Playing at the World: A History of Simulating Wars, People, and Fantastic Adventure from Chess to Role-Playing Games",Non-Fiction,Jon Peterson,Non-Fiction: Games,NOT STARTED,,720,2012,,4.09
The Men Who Stare at Goats,Non-Fiction,Jon Ronson,Non-Fiction: Politics,NOT STARTED,,259,2004,,3.63
Louder Than Hell: The Definitive Oral History of Metal,Non-Fiction,Jon Wiederhorn,Non-Fiction: Music,NOT STARTED,,736,2013,,3.91
The Land of Laughs,Novel,Jonathan Carroll,Fiction: Fantasy,NOT STARTED,,253,1980,,3.89
Mr. Breakfast,Novel,Jonathan Carroll,Fiction: Fantasy,NOT STARTED,,272,2019,,3.74
The Promise,Graphic Novel,Jonathan Hickman,Fiction: Science Fiction,NOT STARTED,"East of West, #1.",152,2013,,3.91
Johannes Cabal the Necromancer,Novel,Jonathan L. Howard,Fiction: Horror,NOT STARTED,"Johannes Cabal, #1.",291,2009,,3.93
Carter & Lovecraft,Novel,Jonathan L. Howard,Fiction: Horror: Cosmic,FINISHED,"Carter & Lovecraft, #1.",306,2015,4.00,3.86
After the End of the World,Novel,Jonathan L. Howard,Fiction: Horror: Cosmic,NOT STARTED,"Carter & Lovecraft, #2.",358,2017,,4.00
The Fortress of Solitude,Novel,Jonathan Lethem,Fiction: Literary,NOT STARTED,,528,2003,,3.84
El libro de arena,Anthology,Jorge Luis Borges,Fiction: Magic Realism,FINISHED,,143,1975,4.00,4.11
Ficciones,Anthology,Jorge Luis Borges,Fiction: Magic Realism,FINISHED,,174,1944,4.70,4.42
Là-Bas,Novel,Joris-Kawl Huysmans,Fiction: Horror,NOT STARTED,,304,1891,,3.96
La ruta del hielo y la sal,Novel,José Luis Zárate,Fiction: Horror,NOT STARTED,,135,1998,,3.64
The Memoirs of a Prague Executioner: A Historical Novel Based on Actual Events,Novel,Josef Svátek,Fiction: Historical,NOT STARTED,,403,1876,,3.89
Welcome to Night Vale,Novel,Joseph Fink,Fiction: Science Fiction,NOT STARTED,,401,2015,,3.83
Catch-22,Novel,Joseph Heller,Fiction: Historical,NOT STARTED,,453,1961,,3.99
Bird Box,Novel,Josh Malerman,Fiction: Horror,NOT STARTED,"Bird Box, #1.",272,2014,,4.04
Wild Swans: Three Daughters of China,Novel,Jung Chang,Fiction: Historical,NOT STARTED,,562,1991,,4.29
"So You Want To Be A Game Master: Everything You Need to Start Your Tabletop Adventure for Dungeons and Dragons, Pathfinder, and Other Systems",Non-Fiction,Justin Alexander,Non-Fiction: Games,NOT STARTED,,544,2023,,4.46
The Passage,Novel,Justin Cronin,Fiction: Science Fiction: Apocalyptic,NOT FINISHED,"The Passage, #1.",784,2010,2.00,4.04
In a Lonely Place,Anthology,Karl Edward Wagner,Fiction: Horror,NOT STARTED,,288,1974,,4.28
The Open Society and Its Enemies,Non-Fiction,Karl Popper,Non-Fiction: Politics,NOT STARTED,,920,1956,,4.23
What Lies in the Woods,Novel,Kate Alice Marshall,Fiction: Horror,NOT STARTED,,322,2023,,3.95
The Alice Network,Novel,Kate Quinn,Fiction: Historical,NOT STARTED,,503,2017,,4.32
The Visitant,Novel,Kathleen O'Neal Gear,Fiction: Historical,NOT STARTED,"The Anasazi Mysteries, #1.",501,1999,,4.10
People of the Wolf,Novel,"Kathleen O'Neal Gear, W. Michael Gear",Fiction: Historical,NOT STARTED,"North America's Forgotten Past, #1.",448,1990,,3.90
Never Let Me Go,Novel,Kazuo Ishiguro,Fiction: Science Fiction,NOT STARTED,,288,2005,,3.85
The Tomb of Horrors,Novel,Keith Francis Strohm,Fiction: Fantasy: High,NOT FINISHED,"Greyhawk, #7.",310,2002,3.50,3.53
Eye of the Needle,Novel,Ken Follett,Fiction: Historical,NOT STARTED,,368,1978,,4.20
Never,Novel,Ken Follett,Fiction: Thriller,NOT STARTED,,802,2021,,4.09
Winter of the World,Novel,Ken Follett,Fiction: Historical,FINISHED,"The Century, #2.",940,2012,4.50,4.37
The Pillars of the Earth,Novel,Ken Follett,Fiction: Historical,FINISHED,"Kingsbridge, #1.",976,1989,4.40,4.34
Fall of Giants,Novel,Ken Follett,Fiction: Historical,FINISHED,"The Century, #1.",985,2010,4.20,4.31
Edge of Eternity,Novel,Ken Follett,Fiction: Historical,NOT STARTED,"The Century, #3.",1152,2014,,4.18
World Without End,Novel,Ken Follett,Fiction: Historical,NOT STARTED,"Kingsbridge, #2.",1237,2007,,4.31
One Flew Over the Cuckoo's Nest,Novel,Ken Kesey,Fiction: Literary,NOT STARTED,,325,1962,,4.20
The Paper Menagerie and Other Stories,Anthology,Ken Liu,Fiction: Science Fiction,NOT STARTED,,450,2016,,4.37
The Grace of Kings,Novel,Ken Liu,Fiction: Fantasy: Epic,NOT FINISHED,"The Dandelion Dynasty, #1.",640,2015,2.50,3.78
Plainsong,Novel,Kent Haruf,Fiction: Contemporary,NOT STARTED,,301,1999,,4.03
"Out of Control: The New Biology of Machines, Social Systems, and the Economic World",Non-Fiction,Kevin Kelly,Non-Fiction: Philosophy,NOT FINISHED,,531,1992,3.25,4.22
The Dream-Quest of Vellitt Boe,Novel,Kij Kohnson,Fiction: Horror: Cosmic,NOT STARTED,,166,2016,,3.86
The Big Fish,Novelette,Kim Newman,Fiction: Horror: Cosmic,FINISHED,,29,1993,3.00,4.12
Shaman,Novel,Kim Stanley Robinson,Fiction: Historical,NOT STARTED,,456,2013,,3.75
Aurora,Novel,Kim Stanley Robinson,Fiction: Science Fiction,NOT STARTED,,466,2015,,3.77
2312,Novel,Kim Stanley Robinson,Fiction: Science Fiction,NOT STARTED,,561,2012,,3.51
Red Mars,Novel,Kim Stanley Robinson,Fiction: Science Fiction,NOT FINISHED,"Mars Trilogy, #1.",572,1992,3.00,3.86
New York 2140,Novel,Kim Stanley Robinson,Fiction: Science Fiction: Climate,FINISHED,,623,2017,4.00,3.59
Ring,Novel,Koji Suzuki,Fiction: Horror,FINISHED,"Ring, #1.",282,1991,4.00,3.80
The Sirens of Titan,Novel,Kurt Vonnegut,Fiction: Science Fiction,FINISHED,,224,1959,4.20,4.15
Slaughterhouse-Five,Novel,Kurt Vonnegut,Fiction: Science Fiction,FINISHED,,275,1969,4.30,4.10
Breakfast of Champions,Novel,Kurt Vonnegut,Fiction: Science Fiction,FINISHED,,303,1973,4.00,4.07
Lest Darkness Fall,Novel,L. Sprague de Camp,Fiction: Science Fiction: Alternative History,NOT STARTED,,174,1941,,3.92
The Incomplete Enchanter,Anthology,"L. Sprague de Camp, Fletcher Pratt",Fiction: Fantasy: High,NOT STARTED,,192,1940,,3.93
Historias de fantasmas de Japón,Anthology,Lafcadio Hearn,Fiction: Horror,NOT STARTED,,224,2019,,4.23
The Imago Sequence and Other Stories,Anthology,Laird Barron,Fiction: Horror: Cosmic,NOT STARTED,,239,2007,,4.00
The Croning,Novel,Laird Barron,Fiction: Horror: Cosmic,FINISHED,,245,2012,4.00,3.72
Occultation and Other Stories,Anthology,Laird Barron,Fiction: Horror: Cosmic,NOT STARTED,,245,2010,,4.07
Lonesome Dove,Novel,Larry McMurtry,Fiction: Historical,NOT STARTED,"Lonesome Dove, #1.",960,1985,,4.53
A World Out of Time,Novel,Larry Niven,Fiction: Science Fiction,NOT STARTED,"The State, #1.",246,1976,,3.80
Ringworld,Novel,Larry Niven,Fiction: Science Fiction,FINISHED,,288,1970,4.00,3.95
The Mote in God's Eye,Novel,Larry Niven,Fiction: Science Fiction,NOT STARTED,,596,1974,,4.07
In Legend Born,Novel,Laura Resnick,Fiction: Fantasy: High,NOT STARTED,"Chronicles of Sirkara, #1.",724,1998,,3.90
Whispers in the Dark,Novel,Laurel Hightower,Fiction: Horror,NOT STARTED,,318,2018,,4.29
Pickman's Modem,Short Story,Lawrence Watt-Evans,Fiction: Horror: Cosmic,FINISHED,,6,1992,3.50,4.12
The Looming Tower: Al-Qaeda and the Road to 9/11,Non-Fiction,Lawrence Wright,Non-Fiction: Politics,FINISHED,,593,2006,4.00,4.35
Killing Floor,Novel,Lee Child,Fiction: Thriller,NOT STARTED,,474,1997,,4.08
Ninth House,Novel,Leigh Bardugo,Fiction: Fantasy,NOT STARTED,"Alex Stern, #1.",461,2019,,4.03
The Long Tomorrow,Novel,Leigh Brackett,Fiction: Science Fiction: Apocalyptic,NOT STARTED,,223,1955,,3.67
The Ipcress File,Novel,Len Deighton,Fiction: Thriller,NOT STARTED,"Secret File, #1.",342,1962,,3.93
Berlin Game,Novel,Len Deighton,Fiction: Thriller,NOT STARTED,"Bernard Samson, #1.",352,1983,,4.05
Exodus,Novel,Leon Uris,Fiction: Historical,NOT STARTED,,599,1958,,4.34
The Hearing Trumpet,Novel,Leonora Carrington,Fiction: Magic Realism,NOT STARTED,,199,1974,,4.00
Evensong,Short Story,Lester del Rey,Fiction: Science Fiction,FINISHED,,10,1967,3.00,4.17
Till Human Voices Wake Us,Short Story,Lewis Shiner,Fiction: Science Fiction: Cyberpunk,FINISHED,,14,1984,3.50,3.95
Mozart in Mirrorshades,Short Story,"Lewis Shiner, Bruce Sterling",Fiction: Science Fiction: Cyberpunk,FINISHED,,16,1985,4.00,3.95
La trastienda de la escritura,Non-Fiction,Liliana Heker,Non-Fiction: Writing,FINISHED,,272,2019,4.50,4.18
Future Home of the Living God,Novel,Louise Erdrich,Fiction: Science Fiction,NOT STARTED,,269,2017,,3.59
The Night Watchman,Novel,Louise Erdrich,Fiction: Literary,NOT STARTED,,464,2020,,4.11
Ride the Wind,Novel,Lucia St. Clair Robson,Fiction: Historical,NOT STARTED,,589,1982,,4.39
A History of Fear,Novel,Luke Dumas,Fiction: Horror,NOT STARTED,,368,2022,,3.70
